pha,sex,year,asr_per_100k,disease,population
10245,females,2016,1452.0,Respiratory disease,133.0
10226,females,2016,2193.4,Respiratory disease,210.0
10249,females,2016,1613.5,Respiratory disease,128.0
10032,females,2016,1739.1,Respiratory disease,311.0
10188,females,2016,2058.7,Respiratory disease,166.0
10250,females,2016,1680.3,Respiratory disease,234.0
10014,females,2016,1632.4,Respiratory disease,353.0
10055,females,2016,1746.4,Respiratory disease,437.0
50051,females,2016,1729.3,Respiratory disease,243.0
10230,females,2016,1617.1,Respiratory disease,201.0
70006,females,2016,2796.8,Respiratory disease,149.0
10256,females,2016,1765.7,Respiratory disease,227.0
10258,females,2016,1521.9,Respiratory disease,50.0
10063,females,2016,1679.8,Respiratory disease,329.0
10137,females,2016,2258.7,Respiratory disease,200.0
10071,females,2016,1535.9,Respiratory disease,193.0
10196,females,2016,2703.7,Respiratory disease,300.0
10090,females,2016,1646.6,Respiratory disease,232.0
10041,females,2016,1714.9,Respiratory disease,315.0
10211,females,2016,1393.2,Respiratory disease,245.0
20028,females,2016,1242.3,Respiratory disease,279.0
10271,females,2016,1394.7,Respiratory disease,46.0
10080,females,2016,1878.4,Respiratory disease,272.0
10118,females,2016,1721.4,Respiratory disease,273.0
10292,females,2016,1499.0,Respiratory disease,189.0
10069,females,2016,1698.1,Respiratory disease,254.0
10049,females,2016,2080.0,Respiratory disease,336.0
20026,females,2016,1257.6,Respiratory disease,53.0
30213,females,2016,2362.6,Respiratory disease,330.0
10284,females,2016,1889.3,Respiratory disease,202.0
10042,females,2016,1323.1,Respiratory disease,194.0
20005,females,2016,1159.3,Respiratory disease,83.0
10173,females,2016,2258.7,Respiratory disease,426.0
10168,females,2016,1835.8,Respiratory disease,172.0
10103,females,2016,2219.1,Respiratory disease,252.0
10050,females,2016,1844.5,Respiratory disease,326.0
10007,females,2016,1870.1,Respiratory disease,432.0
10091,females,2016,1561.9,Respiratory disease,323.0
10270,females,2016,1493.6,Respiratory disease,157.0
10220,females,2016,1833.5,Respiratory disease,306.0
10318,females,2016,1307.0,Respiratory disease,81.0
10064,females,2016,1987.5,Respiratory disease,392.0
10022,females,2016,2072.2,Respiratory disease,401.0
10142,females,2016,2223.5,Respiratory disease,402.0
10106,females,2016,1984.6,Respiratory disease,191.0
10182,females,2016,2226.4,Respiratory disease,87.0
10107,females,2016,1630.8,Respiratory disease,360.0
10108,females,2016,,Respiratory disease,
10278,females,2016,1808.7,Respiratory disease,94.0
10164,females,2016,,Respiratory disease,
10119,females,2016,1415.7,Respiratory disease,97.0
10162,females,2016,2001.5,Respiratory disease,240.0
10105,females,2016,1465.3,Respiratory disease,163.0
10193,females,2016,4224.4,Respiratory disease,217.0
10021,females,2016,1909.5,Respiratory disease,432.0
10279,females,2016,1667.0,Respiratory disease,249.0
10326,females,2016,1842.3,Respiratory disease,214.0
10031,females,2016,1560.3,Respiratory disease,83.0
10098,females,2016,2718.5,Respiratory disease,246.0
10161,females,2016,,Respiratory disease,
10201,females,2016,1864.3,Respiratory disease,128.0
10195,females,2016,2575.1,Respiratory disease,306.0
10096,females,2016,2110.5,Respiratory disease,376.0
40061,females,2016,1245.1,Respiratory disease,90.0
10043,females,2016,1499.1,Respiratory disease,335.0
10028,females,2016,2962.5,Respiratory disease,376.0
20054,females,2016,1445.5,Respiratory disease,153.0
10099,females,2016,2674.6,Respiratory disease,516.0
10294,females,2016,2046.4,Respiratory disease,180.0
10236,females,2016,2485.9,Respiratory disease,148.0
10072,females,2016,1191.1,Respiratory disease,147.0
10295,females,2016,2422.6,Respiratory disease,120.0
10143,females,2016,1245.0,Respiratory disease,156.0
10001,females,2016,2186.0,Respiratory disease,207.0
10102,females,2016,2406.1,Respiratory disease,282.0
10011,females,2016,2194.8,Respiratory disease,301.0
40003,females,2016,1746.4,Respiratory disease,200.0
10194,females,2016,3542.7,Respiratory disease,270.0
10121,females,2016,1439.7,Respiratory disease,212.0
40045,females,2016,2058.7,Respiratory disease,161.0
10319,females,2016,1420.8,Respiratory disease,75.0
10109,females,2016,2187.6,Respiratory disease,385.0
10068,females,2016,1510.8,Respiratory disease,341.0
10067,females,2016,1044.4,Respiratory disease,240.0
10144,females,2016,1218.3,Respiratory disease,236.0
10073,females,2016,1614.0,Respiratory disease,241.0
10166,females,2016,1862.9,Respiratory disease,84.0
10150,females,2016,1496.3,Respiratory disease,229.0
20023,females,2016,1523.5,Respiratory disease,158.0
10298,females,2016,2257.6,Respiratory disease,173.0
10299,females,2016,2728.8,Respiratory disease,210.0
10016,females,2016,1590.5,Respiratory disease,336.0
10017,females,2016,1602.0,Respiratory disease,200.0
10015,females,2016,1495.0,Respiratory disease,279.0
10147,females,2016,2052.1,Respiratory disease,444.0
10274,females,2016,1818.7,Respiratory disease,97.0
10175,females,2016,2597.0,Respiratory disease,255.0
10313,females,2016,3301.8,Respiratory disease,459.0
10202,females,2016,1919.1,Respiratory disease,236.0
10272,females,2016,1812.9,Respiratory disease,289.0
10077,females,2016,1455.3,Respiratory disease,365.0
10123,females,2016,2232.5,Respiratory disease,213.0
10010,females,2016,2031.0,Respiratory disease,228.0
10100,females,2016,2781.3,Respiratory disease,249.0
